"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D57","3.2X1.6X1.1","196.92mm","236.2539mm","196.92mm","236.2539mm","195.1699mm","236.2539mm","T","360.00","LED2"
"D56","3.2X1.6X1.1","183.42mm","236.2539mm","183.42mm","236.2539mm","181.67mm","236.2539mm","T","360.00","LED2"
"D55","3.2X1.6X1.1","169.92mm","236.2539mm","169.92mm","236.2539mm","168.17mm","236.2539mm","T","360.00","LED2"
"D54","3.2X1.6X1.1","156.42mm","236.2539mm","156.42mm","236.2539mm","154.67mm","236.2539mm","T","360.00","LED2"
"D53","3.2X1.6X1.1","142.92mm","236.2539mm","142.92mm","236.2539mm","141.17mm","236.2539mm","T","360.00","LED2"
"D52","3.2X1.6X1.1","129.42mm","236.2539mm","129.42mm","236.2539mm","127.67mm","236.2539mm","T","360.00","LED2"
"D51","3.2X1.6X1.1","115.92mm","236.2539mm","115.92mm","236.2539mm","114.17mm","236.2539mm","T","360.00","LED2"
"D50","3.2X1.6X1.1","102.42mm","236.2539mm","102.42mm","236.2539mm","100.67mm","236.2539mm","T","360.00","LED2"
"D49","3.2X1.6X1.1","88.92mm","236.2539mm","88.92mm","236.2539mm","87.17mm","236.2539mm","T","360.00","LED2"
"D48","3.2X1.6X1.1","291.42mm","246.254mm","291.42mm","246.254mm","289.67mm","246.254mm","T","360.00","LED2"
"D47","3.2X1.6X1.1","277.9199mm","246.254mm","277.9199mm","246.254mm","276.1699mm","246.254mm","T","360.00","LED2"
"D46","3.2X1.6X1.1","264.4199mm","246.254mm","264.4199mm","246.254mm","262.6699mm","246.254mm","T","360.00","LED2"
"D45","3.2X1.6X1.1","250.92mm","246.254mm","250.92mm","246.254mm","249.1699mm","246.254mm","T","360.00","LED2"
